tweet_id,text,label
597576902212063232,Cisco had to deal with a fat cash payout to the FSF *and* allow an external party to do constant reviews of their FOSS license compliancy.,0
565586175864610817,"@MadamPlumpette I'm decent at editing, no worries ^.^",0
563881580209246209,@girlziplocked will read. gotta go afk for a bit - still bringing stuff in from car after week long road trip.,0
595380689534656512,guys. show me the data. show me your github. tell me your story. show me something that makes me think you're not a bag of useless opinions.,0
563757610327748608,@tpw_rules nothings broken. I was just driving througg a lot of water.,0
563082741370339330,ur face is classified as a utility by the FCC.,0
596962098845851648,@lysandraws yay! Absolutely. I'm not gone until November :),0
563874350038675457,"RT @kashiichan: ""It really feels like the @twitter DM can be the hand-on-the-knee of social communication."" http://t.co/7mFseL5zfE #stopwad…",0
597240424873394176,@SirenSailor rtfm. http://t.co/jaMXHikl3u,0
571030421103910912,,1
595306172833353728,,0
562706485126643713,,0
564678824953008128,,0
571035328384884736,,0
603286576131506177,,3
595375793301131265,,0
598769509248335873,,0
572068636338364417,,2
572346645897064448,,0
575080651709247489,,0
571033583285985281,,0
571387182293725184,,0
573222765957816320,,0
603664815454875648,,0
568820924855615489,,0
575501717103644672,,2
563377797763047425,,0
597148153188519936,,0
568848293486133248,,0
603663272831778817,,0
572854416031629313,,0
564317491350863872,,0
570095648952819713,,0
575393332328722432,,2
565029767708033024,,0
562943065523240961,,0
570997249846571008,,0
603676994925133826,,0
598512784377122816,,0
603688066105081856,,0
603649396484407296,,0
598336838680477697,,0
602678737566453760,,0
562787963785191425,,0
569957017655226369,,0
570994931231117315,,0
569150960783769601,,1
575742743730745344,,2
563851316665925632,,0
563501697398370304,,0
569201849229664256,,0
569177003644964864,,0
563093253378289665,,0
570993190724964352,,0
575417042150387712,,2
596355644883501056,,0
565593365245612032,,0
597344466152792065,,0
569744463670566913,,0
594917674448072704,,0
564674500390682624,,0
595102568667217920,,0
568436195966889984,,0
565363377309241344,,0
595115846613139456,,0
564904052652113920,,0
573954693690355712,,0
570731787091107840,,2
596964493449560064,,0
603682460191203328,,2
598194795421376512,,0
563768704115023872,,0
572343670034178051,,0
571000078405537794,,0
568456509421518848,,0
572270547502907392,,0
570732311840473089,,0
572102836856750081,,2
576433212156563456,,2
571717540713381888,,0
575155695080730624,,0
571741933233565696,,0
595328640088285184,,0
572347254335385600,,0
574417568229761025,,0
564678219333246976,,0
603681832173961216,,0
596592358772191232,,0
563826405784305666,,0
599724801322659840,,0
571740177137184768,,0
603665369119592448,,0
569612886722486272,,0
575347321140969472,,0
571354609622495232,,0
570994652993556481,,2
563093321418309633,,0
602445487753535488,,0
563309529614409730,,0
603687162077433856,,0
566069269084262401,,0
571733391919337472,,0
597872004235010048,,0
576532163526406144,,0
576554873468035072,,2
562767924205998081,,0
